Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
3160,james worthy,198210290LAL,21,77,1970,0.579,0.25,0.624,25.6,13.4,5.2,1.7,1.2,0.8,2.3,1982-1983,1,0,0,0,1,2,High Success,1
3175,tom chambers,198110310SDC,22,81,2682,0.525,0.0,0.62,33.1,17.2,6.9,1.8,0.7,0.6,2.7,1981-1982,1,0,0,0,0,1,Low Success,0
3188,eddie johnson,198110300KCK,22,74,1517,0.459,0.091,0.664,20.5,9.3,4.4,1.5,0.7,0.2,1.3,1981-1982,0,0,1,0,0,1,Low Success,0
3202,larry nance,198110300POR,22,80,1186,0.521,0.0,0.641,14.8,6.6,3.2,1.0,0.5,0.9,1.3,1981-1982,0,0,1,0,0,1,Low Success,0
3211,isiah thomas,198110300DET,20,72,2433,0.424,0.288,0.704,33.8,17.0,2.9,7.8,2.1,0.2,4.2,1981-1982,1,0,0,0,1,2,High Success,1
3218,danny vranes,198110310SEA,23,77,1075,0.546,0.0,0.601,14.0,4.9,2.6,0.7,0.4,0.3,0.9,1981-1982,0,0,1,0,0,1,Low Success,0
3219,buck williams,198110300NJN,21,82,2825,0.582,0.0,0.624,34.5,15.5,12.3,1.3,1.0,1.0,2.9,1981-1982,1,1,1,0,0,3,High Success,1
3248,darrell griffith,198010100UTA,22,81,2867,0.464,0.192,0.716,35.4,20.6,3.6,2.4,1.3,0.5,2.9,1980-1981,0,1,0,0,0,1,Low Success,0
3249,bill hanzlik,198010120POR,23,74,1259,0.478,0.2,0.793,17.0,5.4,2.1,1.5,0.8,0.3,1.1,1980-1981,0,0,1,0,0,1,Low Success,0
3265,rick mahorn,198010100DET,22,52,696,0.507,0.0,0.675,13.4,4.8,4.1,0.5,0.4,0.8,0.7,1980-1981,0,0,1,0,0,1,Low Success,0
3269,kevin mchale,198010100BOS,23,82,1645,0.533,0.0,0.679,20.1,10.0,4.4,0.7,0.3,1.8,1.3,1980-1981,1,0,1,0,0,2,High Success,1
3306,larry bird,197910120BOS,23,82,2955,0.474,0.406,0.836,36.0,21.3,10.4,4.5,1.7,0.6,3.2,1979-1980,1,1,1,1,1,5,High Success,1
3308,dudley bradley,197910120DET,22,82,2027,0.452,0.4,0.782,24.7,8.4,2.7,3.1,2.6,0.6,2.0,1979-1980,0,0,1,0,0,1,Low Success,0
3331,magic johnson,197910120SDC,20,77,2795,0.53,0.226,0.81,36.3,18.0,7.7,7.3,2.4,0.5,4.0,1979-1980,1,0,0,1,1,3,High Success,1
